State and County,1989,1979,1969,1959
"Stokes County, NC","12,181","9,401","6,952","3,771"
"Surry County, NC","11,342","9,536","7,273","4,697"
"Swain County, NC","8,922","6,909","5,545","3,104"
"Transylvania County, NC","12,737","10,543","7,415","4,819"
"Tyrrell County, NC","7,884","6,936","4,919","2,570"
"Union County, NC","13,135","10,625","7,730","4,269"
"Vance County, NC","10,457","8,358","6,537","3,834"
"Wake County, NC","17,195","12,916","9,445","6,165"
"Warren County, NC","8,502","7,331","5,061","2,668"
"Washington County, NC","9,827","8,712","6,433","3,677"
"Watauga County, NC","10,628","8,541","6,197","3,241"
"Wayne County, NC","10,843","8,915","6,244","3,771"
"Wilkes County, NC","10,816","9,664","6,587","3,920"
"Wilson County, NC","11,641","9,642","6,464","4,018"
"Yadkin County, NC","11,843","9,459","7,172","4,497"
"Yancey County, NC","9,462","7,591","5,111","3,226"
,,,,
North Dakota,"$11,051.00","$10,753.00","$7,585.00","$5,325.00"
"Adams County, ND","10,382","9,826","7,988","4,999"
"Barnes County, ND","10,102","10,423","7,556","5,274"
"Benson County, ND","6,983","8,308","5,879","4,214"
"Billings County, ND","9,172","13,563","5,136","3,167"
"Bottineau County, ND","10,557","9,660","7,670","5,168"
"Bowman County, ND","10,060","10,381","7,689","6,698"
"Burke County, ND","9,176","8,967","6,455","4,473"
"Burleigh County, ND","13,018","13,015","8,683","6,592"
"Cass County, ND","13,240","12,879","9,246","7,201"
"Cavalier County, ND","10,653","10,233","6,540","4,556"
"Dickey County, ND","9,747","8,786","7,043","4,579"
"Divide County, ND","10,603","10,448","7,065","4,619"
"Dunn County, ND","8,689","9,468","5,939","3,265"
"Eddy County, ND","9,398","9,769","6,436","4,772"
"Emmons County, ND","8,421","7,862","5,630","3,626"
"Foster County, ND","9,393","10,652","7,355","4,933"
"Golden Valley County, ND","9,290","10,455","7,179","4,085"
"Grand Forks County, ND","11,414","10,924","8,208","6,620"
"Grant County, ND","8,511","7,142","5,939","3,587"
"Griggs County, ND","8,816","9,689","7,462","5,089"
"Hettinger County, ND","9,203","8,553","6,445","4,477"
"Kidder County, ND","8,700","7,613","5,885","3,277"
"LaMoure County, ND","9,271","8,744","6,839","4,163"
"Logan County, ND","10,304","7,773","7,084","3,182"
"McHenry County, ND","8,871","8,293","6,247","4,077"
"McIntosh County, ND","9,133","8,621","6,858","3,610"
"McKenzie County, ND","9,832","10,292","7,330","5,188"
"McLean County, ND","9,733","10,168","6,710","4,285"
"Mercer County, ND","12,195","11,849","6,943","4,277"
"Morton County, ND","10,534","10,471","6,414","4,666"
"Mountrail County, ND","9,265","9,176","6,518","4,273"
"Nelson County, ND","9,590","9,265","6,490","4,960"
"Oliver County, ND","9,749","10,027","6,065","2,868"
"Pembina County, ND","11,308","10,228","7,547","4,901"
"Pierce County, ND","8,993","8,846","6,704","4,403"
"Ramsey County, ND","11,125","10,636","7,390","5,898"
"Ransom County, ND","11,297","9,444","7,607","4,787"
"Renville County, ND","10,759","9,602","7,840","4,846"
"Richland County, ND","10,562","10,501","6,663","4,717"
"Rolette County, ND","6,773","6,949","5,152","3,406"
"Sargent County, ND","10,867","9,654","6,914","3,755"
"Sheridan County, ND","8,152","8,271","6,181","2,900"
"Sioux County, ND","5,185","6,103","4,507","2,429"
"Slope County, ND","8,234","8,271","6,845","4,980"
"Stark County, ND","10,136","10,795","6,612","4,787"
"Steele County, ND","11,586","11,594","7,896","5,286"
"Stutsman County, ND","11,369","10,882","3,405","5,482"
"Towner County, ND","9,481","10,409","7,682","5,278"
"Traill County, ND","10,509","10,905","7,730","5,180"
"Walsh County, ND","10,766","8,732","7,330","4,901"
"Ward County, ND","10,708","10,706","8,145","6,443"
"Wells County, ND","9,957","9,250","7,465","4,634"
"Williams County, ND","11,165","12,676","7,912","6,067"
,,,,
Ohio,"$13,461.00","$12,207.00","$10,068.00","$7,679.00"
"Adams County, OH","8,407","7,705","5,794","3,751"
"Allen County, OH","11,830","11,566","9,536","6,808"
"Ashland County, OH","11,623","10,919","9,117","7,150"
"Ashtabula County, OH","10,672","10,930","9,246","6,718"
"Athens County, OH","9,170","8,531","7,213","5,199"
"Auglaize County, OH","12,398","11,093","8,683","6,173"
"Belmont County, OH","10,329","11,138","8,271","6,023"
"Brown County, OH","10,498","9,452","7,198","4,811"
"Butler County, OH","13,947","12,306","9,782","7,726"
"Carroll County, OH","10,693","10,084","7,887","5,588"
"Champaign County, OH","12,539","10,892","8,998","6,035"
"Clark County, OH","12,348","11,401","9,687","7,087"
"Clermont County, OH","13,338","11,731","8,856","6,545"
"Clinton County, OH","11,736","10,523","8,409","6,035"
"Columbiana County, OH","10,567","10,946","8,743","6,373"
"Coshocton County, OH","10,685","10,949","8,186","6,094"
"Crawford County, OH","11,401","11,024","9,023","7,095"
"Cuyahoga County, OH","14,912","13,570","11,619","9,237"
"Darke County, OH","11,693","10,562","8,626","6,047"
"Defiance County, OH","12,545","11,976","8,774","6,537"
"Delaware County, OH","17,437","12,343","9,184","6,408"
"Erie County, OH","13,833","12,606","9,882","7,542"
"Fairfield County, OH","13,609","11,842","8,623","6,698"
"Fayette County, OH","10,300","9,662","8,066","5,643"
"Franklin County, OH","14,907","12,718","10,490","8,241"
"Fulton County, OH","12,467","11,517","9,036","6,541"
"Gallia County, OH","9,711","9,977","6,537","4,638"
"Geauga County, OH","17,587","14,696","11,069","8,158"
"Greene County, OH","14,384","12,569","10,738","7,369"
"Guernsey County, OH","9,929","10,031","7,591","5,482"
"Hamilton County, OH","15,354","13,189","10,666","8,539"
"Hancock County, OH","14,239","12,418","10,257","7,283"
"Hardin County, OH","10,957","10,320","7,868","5,517"
"Harrison County, OH","9,146","10,051","7,330","5,655"
"Henry County, OH","12,115","11,661","9,133","6,216"
"Highland County, OH","9,848","9,272","7,364","5,078"
"Hocking County, OH","10,265","9,493","7,342","5,337"
"Holmes County, OH","9,191","8,313","6,461","4,666"
"Huron County, OH","11,552","11,326","8,844","6,694"
"Jackson County, OH","9,228","8,896","6,559","4,913"
"Jefferson County, OH","11,001","12,050","8,841","6,934"
"Knox County, OH","10,688","9,982","8,589","6,455"
"Lake County, OH","15,465","13,806","10,899","8,217"
"Lawrence County, OH","9,336","9,679","7,160","5,486"
"Licking County, OH","12,864","11,746","8,925","7,001"
"Logan County, OH","11,741","10,404","8,280","5,976"
"Lorain County, OH","12,733","12,080","9,684","7,165"
"Lucas County, OH","13,778","12,715","10,726","8,268"
"Madison County, OH","12,053","10,587","8,069","5,694"
"Mahoning County, OH","11,668","11,609","9,759","7,413"
"Marion County, OH","11,547","11,180","8,633","6,840"
"Medina County, OH","14,852","13,174","10,062","7,154"
"Meigs County, OH","8,644","8,980","6,326","4,501"
"Mercer County, OH","11,673","11,078","8,167","5,670"
"Miami County, OH","13,896","11,901","9,989","7,456"
"Monroe County, OH","9,101","10,000","6,993","4,913"
"Montgomery County, OH","14,495","12,804","11,405","8,472"
"Morgan County, OH","9,373","9,070","7,072","5,003"
"Morrow County, OH","10,581","10,010","8,063","5,819"
"Muskingum County, OH","10,844","10,279","7,909","6,333"
"Noble County, OH","9,028","9,587","6,829","4,803"
"Ottawa County, OH","14,144","12,281","8,960","6,997"
"Paulding County, OH","11,254","10,924","7,928","5,517"
"Perry County, OH","9,247","9,109","6,575","5,097"
"Pickaway County, OH","11,490","10,501","7,811","5,325"
"Pike County, OH","8,958","8,404","6,386","4,344"
"Portage County, OH","12,509","11,552","9,678","6,997"
"Preble County, OH","11,466","10,967","9,061","5,976"
"Putnam County, OH","11,943","10,692","7,698","5,031"
"Richland County, OH","12,514","11,400","9,656","7,695"
"Ross County, OH","10,758","10,475","7,840","6,059"
"Sandusky County, OH","12,230","11,676","8,853","6,722"
"Scioto County, OH","9,253","9,119","7,327","5,662"
"Seneca County, OH","11,226","10,689","8,394","6,369"
"Shelby County, OH","13,150","10,946","8,564","5,972"
"Stark County, OH","13,003","12,212","9,961","7,566"
"Summit County, OH","14,409","12,846","10,823","8,299"
"Trumbull County, OH","12,899","12,703","10,200","7,569"
"Tuscarawas County, OH","11,141","10,785","8,085","6,494"
"Union County, OH","13,644","11,282","9,193","5,776"
"Van Wert County, OH","11,913","11,641","8,743","6,322"
"Vinton County, OH","8,826","8,050","6,169","4,191"
"Warren County, OH","14,615","11,996","9,451","6,585"
"Washington County, OH","11,438","10,728","8,098","5,713"
"Wayne County, OH","12,237","11,341","9,256","6,537"
"Williams County, OH","12,473","11,460","8,973","6,545"
"Wood County, OH","13,853","12,124","10,121","7,244"
"Wyandot County, OH","11,279","10,548","7,972","5,972"
,,,,
Oklahoma,"$11,893.00","$11,485.00","$8,479.00","$6,329.00"
"Adair County, OK","7,378","6,549","4,516","2,770"
"Alfalfa County, OK","9,999","12,023","8,158","6,541"
"Atoka County, OK","8,308","7,299","5,586","3,190"
"Beaver County, OK","11,910","12,164","8,491","6,408"
"Beckham County, OK","10,400","11,073","7,276","5,980"
"Blaine County, OK","9,787","11,210","6,845","4,634"
"Bryan County, OK","9,082","8,491","6,688","4,265"
"Caddo County, OK","8,735","9,334","6,165","4,418"
"Canadian County, OK","13,077","12,703","8,290","5,886"
"Carter County, OK","11,266","10,845","7,386","5,866"
"Cherokee County, OK","9,446","8,033","5,807","4,116"
"Choctaw County, OK","7,548","7,869","5,807","3,528"
"Cimarron County, OK","9,929","10,285","8,592","7,726"
"Cleveland County, OK","13,182","12,353","8,759","6,153"
"Coal County, OK","7,695","7,532","5,353","3,936"
"Comanche County, OK","10,602","9,493","7,966","6,298"
"Cotton County, OK","9,147","8,740","7,676","4,175"
"Craig County, OK","9,886","9,266","6,789","4,501"
"Creek County, OK","10,608","10,431","7,597","5,376"
"Custer County, OK","10,461","11,235","7,934","6,384"
"Delaware County, OK","9,572","7,976","5,753","3,539"
"Dewey County, OK","9,726","11,257","7,679","5,243"
"Ellis County, OK","10,082","11,423","7,730","6,384"
"Garfield County, OK","11,564","12,976","8,872","6,483"
"Garvin County, OK","9,548","9,871","7,342","5,486"
"Grady County, OK","10,420","10,501","7,660","5,392"
"Grant County, OK","11,255","11,884","7,138","6,019"
"Greer County, OK","9,089","9,330","6,357","5,980"
"Harmon County, OK","7,817","9,154","6,855","7,087"
"Harper County, OK","11,752","12,812","7,792","6,655"
"Haskell County, OK","8,320","8,259","5,410","3,386"
"Hughes County, OK","8,849","7,827","6,490","4,426"
"Jackson County, OK","10,224","9,101","7,003","5,576"
"Jefferson County, OK","8,430","9,136","6,637","4,434"
"Johnston County, OK","7,821","7,083","5,209","4,132"
"Kay County, OK","12,394","12,288","9,051","6,773"
"Kingfisher County, OK","11,141","11,919","8,746","6,023"
"Kiowa County, OK","9,213","9,159","6,373","5,600"
"Latimer County, OK","9,427","7,527","5,467","3,810"
"Le Flore County, OK","8,752","8,088","5,643","3,908"
"Lincoln County, OK","9,952","9,411","7,025","4,972"
"Logan County, OK","10,946","10,264","6,789","5,148"
"Love County, OK","9,960","10,021","5,992","4,057"
"McClain County, OK","11,114","10,310","7,132","4,889"
"McCurtain County, OK","8,291","7,594","5,391","3,414"
"McIntosh County, OK","9,403","8,097","5,536","3,591"
"Major County, OK","10,745","11,931","7,556","5,341"
"Marshall County, OK","9,889","9,506","6,955","4,650"
"Mayes County, OK","10,049","9,344","6,874","4,752"
"Murray County, OK","9,439","9,523","6,886","5,121"
"Muskogee County, OK","9,756","9,840","7,239","5,396"
"Noble County, OK","10,969","10,852","7,519","6,118"
"Nowata County, OK","9,339","10,272","7,021","5,580"
"Okfuskee County, OK","8,471","7,487","5,064","3,465"
"Oklahoma County, OK","13,794","13,380","10,272","7,821"
"Okmulgee County, OK","8,799","8,866","6,530","5,509"
"Osage County, OK","11,123","11,358","8,460","6,322"
"Ottawa County, OK","9,057","9,307","7,811","5,607"
"Pawnee County, OK","10,416","10,929","7,723","5,188"
"Payne County, OK","10,907","10,156","7,711","6,031"
"Pittsburg County, OK","9,832","8,967","6,807","4,654"
"Pontotoc County, OK","10,005","9,761","7,645","5,435"
"Pottawatomie County, OK","10,391","10,067","7,446","5,604"
"Pushmataha County, OK","7,426","7,524","4,947","3,261"
"Roger Mills County, OK","9,886","11,287","7,289","4,328"
"Rogers County, OK","12,235","11,651","7,717","5,086"
"Seminole County, OK","9,044","9,220","6,102","5,121"
"Sequoyah County, OK","9,074","7,921","5,382","3,371"
"Stephens County, OK","10,839","11,462","8,214","6,581"
"Texas County, OK","11,096","11,775","8,938","7,087"
"Tillman County, OK","8,597","9,943","6,584","4,791"
"Tulsa County, OK","14,742","14,149","10,486","8,358"
"Wagoner County, OK","11,839","10,865","7,097","4,454"
"Washington County, OK","15,086","14,949","10,908","8,499"
"Washita County, OK","9,642","11,354","7,305","5,439"
"Woods County, OK","12,261","12,469","8,658","6,282"
"Woodward County, OK","11,000","12,737","8,586","6,275"
,,,,
Oregon,"$13,418.00","$12,663.00","$9,907.00","$7,648.00"
"Baker County, OR","10,802","10,382","8,136","6,718"
"Benton County, OR","12,994","12,001","9,722","7,609"
"Clackamas County, OR","16,360","14,411","10,716","7,828"
"Clatsop County, OR","12,568","12,660","9,914","7,362"
"Columbia County, OR","12,798","12,201","9,032","6,353"
"Coos County, OR","11,088","11,612","9,360","7,177"
"Crook County, OR","11,017","11,664","8,652","7,279"
"Curry County, OR","12,475","12,045","9,250","7,632"
"Deschutes County, OR","13,401","12,216","9,394","7,275"
"Douglas County, OR","10,809","11,194","8,689","6,828"
"Gilliam County, OR","12,137","11,733","8,261","8,405"
"Grant County, OR","11,310","10,687","8,183","7,326"
"Harney County, OR","10,990","11,599","8,988","6,742"
"Hood River County, OR","11,421","12,603","9,086","7,110"
"Jackson County, OR","12,492","11,636","9,051","7,279"
"Jefferson County, OR","9,863","10,207","8,239","6,463"
"Josephine County, OR","10,809","9,845","8,221","6,883"
"Klamath County, OR","11,138","10,994","9,165","7,652"
"Lake County, OR","11,231","10,535","8,271","7,942"
"Lane County, OR","12,570","12,236","9,561","7,511"
"Lincoln County, OR","12,058","12,569","9,117","6,828"
"Linn County, OR","11,443","11,128","8,560","6,463"
"Malheur County, OR","9,949","9,179","7,481","5,725"
"Marion County, OR","12,228","11,864","8,960","6,663"
"Morrow County, OR","10,412","11,978","9,665","7,483"
"Multnomah County, OR","14,462","13,622","11,047","8,684"
"Polk County, OR","12,405","11,720","9,001","6,561"
"Sherman County, OR","13,242","10,443","8,302","9,167"
"Tillamook County, OR","11,550","11,757","8,948","6,761"
"Umatilla County, OR","11,178","11,145","8,796","7,134"
"Union County, OR","10,698","10,751","8,790","6,553"
"Wallowa County, OR","10,811","10,518","8,195","6,345"
"Wasco County, OR","12,542","12,346","9,055","7,569"
"Washington County, OR","16,351","15,403","11,704","8,496"
"Wheeler County, OR","9,299","9,198","8,114","6,553"
"Yamhill County, OR","12,990","11,544","8,636","6,247"
,,,,
Pennsylvania,"$14,068.00","$11,855.00","$9,649.00","$6,494.00"
"Adams County, PA","13,018","10,595","8,479","5,866"
"Allegheny County, PA","15,115","13,379","10,452","8,087"
"Armstrong County, PA","10,565","10,533","7,522","5,827"
"Beaver County, PA","11,683","12,496","9,026","6,953"
"Bedford County, PA","9,954","9,054","7,585","5,294"
"Berks County, PA","14,604","12,303","10,191","7,577"
"Blair County, PA","11,233","10,141","8,280","6,176"
"Bradford County, PA","10,810","9,344","7,818","5,611"
"Bucks County, PA","18,292","13,486","10,710","7,864"
"Butler County, PA","12,747","11,364","8,195","6,722"
"Cambria County, PA","10,460","10,597","7,994","5,549"
"Cameron County, PA","10,190","10,113","9,492","8,170"
"Carbon County, PA","11,729","10,646","7,899","5,961"
"Centre County, PA","11,854","9,902","8,274","5,980"
"Chester County, PA","20,601","14,684","11,516","8,350"
"Clarion County, PA","9,698","10,103","7,264","5,776"
"Clearfield County, PA","10,430","10,099","7,150","5,596"
"Clinton County, PA","10,287","9,769","7,723","6,239"
"Columbia County, PA","10,959","9,588","7,896","5,968"
"Crawford County, PA","10,833","10,379","8,299","6,102"
"Cumberland County, PA","15,796","12,998","10,792","7,746"
"Dauphin County, PA","14,890","12,609","10,109","7,393"
"Delaware County, PA","17,210","13,479","11,686","9,076"
"Elk County, PA","10,775","10,761","7,723","6,683"
"Erie County, PA","12,317","11,150","8,844","6,895"
"Fayette County, PA","9,791","9,843","6,811","5,101"
"Forest County, PA","9,349","9,536","7,824","5,709"
"Franklin County, PA","13,060","11,185","8,243","6,153"
"Fulton County, PA","10,267","9,052","7,021","4,568"
"Greene County, PA","10,005","10,039","6,877","5,192"
"Huntingdon County, PA","10,471","8,769","7,072","4,964"
"Indiana County, PA","10,260","10,200","7,525","5,643"
"Jefferson County, PA","10,580","10,468","7,459","5,725"
"Juniata County, PA","10,759","9,334","7,229","4,850"
"Lackawanna County, PA","12,358","10,233","8,589","6,161"
"Lancaster County, PA","14,235","11,876","9,728","7,259"
"Lawrence County, PA","10,830","11,008","8,198","6,655"
"Lebanon County, PA","13,209","11,554","9,385","6,836"
"Lehigh County, PA","15,458","13,193","10,660","7,982"
"Luzerne County, PA","12,002","10,067","8,394","5,984"
"Lycoming County, PA","11,714","10,339","8,416","6,726"
"Mc Kean County, PA","10,817","10,277","8,290","6,989"
"Mercer County, PA","11,336","11,302","8,601","6,851"
"Mifflin County, PA","10,609","9,739","8,129","6,039"
"Monroe County, PA","13,630","11,346","9,048","6,734"
"Montgomery County, PA","21,990","16,299","13,794","11,034"
"Montour County, PA","13,769","10,617","7,110","5,129"
"Northampton County, PA","14,562","12,370","10,071","7,307"
"Northumberland County, PA","10,819","9,520","7,427","5,796"
"Perry County, PA","11,941","10,262","8,079","5,352"
"Philadelphia County, PA","12,091","10,143","9,495","7,358"
"Pike County, PA","13,785","11,510","9,313","6,624"
"Potter County, PA","9,905","8,588","7,245","5,568"
"Schuylkill County, PA","11,193","9,858","7,471","5,772"
"Snyder County, PA","10,859","9,642","7,320","5,144"
"Somerset County, PA","10,422","10,072","7,692","4,940"
"Sullivan County, PA","9,839","8,528","7,465","5,423"
"Susquehanna County, PA","10,907","9,409","7,859","5,549"
"Tioga County, PA","10,290","9,069","7,239","5,721"
"Union County, PA","11,679","9,700","7,629","5,968"
"Venango County, PA","10,696","11,200","7,808","6,157"
"Warren County, PA","12,350","10,997","8,576","6,812"
"Washington County, PA","12,744","11,847","8,340","6,549"
"Wayne County, PA","11,257","9,610","7,427","5,388"
"Westmoreland County, PA","12,612","11,906","8,963","6,573"
"Wyoming County, PA","11,628","9,801","7,512","5,572"
"York County, PA","14,544","12,276","10,071","7,201"
,,,,
Rhode Island,"$14,981.00","$11,557.00","$9,822.00","$7,134.00"
"Bristol County, RI","17,897","12,752","11,088","8,135"
"Kent County, RI","16,390","12,382","10,357","7,271"
"Newport County, RI","16,819","11,961","9,536","6,585"
"Providence County, RI","13,871","11,128","9,731","7,138"
"Washington County, RI","16,182","11,876","9,177","6,977"
,,,,
South Carolina,"$11,897.00","$9,860.00","$7,248.00","$4,481.00"
"Abbeville County, SC","10,214","9,013","6,874","4,061"
"Aiken County, SC","13,127","10,672","8,079","5,384"
"Allendale County, SC","7,458","7,234","5,319","3,210"
"Anderson County, SC","12,027","10,302","8,010","5,042"
"Bamberg County, SC","8,438","7,264","5,026","3,127"
"Barnwell County, SC","10,611","8,765","6,345","3,802"
"Beaufort County, SC","15,213","11,500","7,062","4,281"
"Berkeley County, SC","10,942","9,268","6,043","3,375"
"Calhoun County, SC","9,983","7,916","4,957","2,586"
"Charleston County, SC","13,068","10,659","8,025","5,333"
"Cherokee County, SC","10,406","9,303","7,106","4,124"
"Chester County, SC","9,806","8,898","6,581","4,022"
"Chesterfield County, SC","9,455","8,357","6,411","3,269"
"Clarendon County, SC","8,181","6,996","4,214","2,327"
"Colleton County, SC","9,193","7,763","5,555","3,006"
"Darlington County, SC","10,510","8,615","6,606","3,700"
"Dillon County, SC","8,077","6,974","5,076","2,715"
"Dorchester County, SC","11,884","10,059","6,493","3,575"
"Edgefield County, SC","10,651","7,959","5,615","3,147"
"Fairfield County, SC","9,011","7,534","5,070","3,049"
"Florence County, SC","11,007","9,260","6,968","3,912"
"Georgetown County, SC","11,084","9,124","5,715","3,402"
"Greenville County, SC","13,918","11,304","8,664","5,980"
"Greenwood County, SC","11,429","10,262","8,230","5,113"
"Hampton County, SC","8,578","8,088","5,460","3,159"
"Horry County, SC","12,385","9,724","6,379","3,791"
"Jasper County, SC","7,984","7,226","4,790","2,759"
"Kershaw County, SC","11,937","10,101","7,585","4,057"
"Lancaster County, SC","11,041","9,649","7,544","4,728"
"Laurens County, SC","10,739","9,231","7,100","4,403"
"Lee County, SC","7,569","7,158","4,529","2,068"
"Lexington County, SC","14,259","11,594","8,173","4,889"
"McCormick County, SC","7,929","7,179","4,922","2,916"
"Marion County, SC","8,185","7,413","5,514","3,022"
"Marlboro County, SC","7,948","7,512","5,486","2,978"
"Newberry County, SC","10,487","9,776","7,034","4,124"
"Oconee County, SC","12,352","9,692","7,217","4,301"
"Orangeburg County, SC","9,004","7,789","5,703","3,257"
"Pickens County, SC","11,427","10,072","7,824","5,313"
"Richland County, SC","13,243","10,783","8,280","5,607"
"Saluda County, SC","9,814","7,914","6,140","3,308"
"Spartanburg County, SC","12,218","10,574","7,852","5,156"
"Sumter County, SC","9,997","8,000","6,175","3,932"
"Union County, SC","9,669","8,938","6,918","4,595"
"Williamsburg County, SC","7,632","6,860","4,368","2,103"
"York County, SC","13,306","10,676","7,509","4,752"
,,,,
South Dakota,"$10,661.00","$9,546.00","$7,512.00","$5,207.00"
"Aurora County, SD","8,129","7,328","5,816","3,175"
"Beadle County, SD","10,373","10,488","8,422","5,800"
"Bennett County, SD","7,841","6,644","6,597","4,509"
"Bon Homme County, SD","8,208","7,723","6,587","3,853"
"Brookings County, SD","9,926","9,163","7,585","4,984"
"Brown County, SD","11,579","10,371","8,085","5,835"
"Brule County, SD","9,681","7,824","6,971","5,050"
"Buffalo County, SD","5,067","4,427","5,322","2,955"
"Butte County, SD","9,843","9,439","7,604","6,235"
"Campbell County, SD","8,678","6,773","9,646","4,411"
"Charles Mix County, SD","7,475","6,917","6,279","3,520"
"Clark County, SD","9,280","7,765","6,911","3,834"
"Clay County, SD","9,160","9,121","7,497","5,195"
"Codington County, SD","10,508","10,079","8,114","5,513"
"Corson County, SD","6,299","5,900","5,209","3,634"
"Custer County, SD","10,942","10,010","8,283","5,399"
"Davison County, SD","10,105","9,509","7,849","5,933"
"Day County, SD","9,191","8,085","6,065","3,955"
"Deuel County, SD","9,117","7,457","8,689","3,853"
"Dewey County, SD","6,515","6,607","5,379","3,963"
"Douglas County, SD","7,869","6,324","5,366","3,288"
"Edmunds County, SD","8,792","7,432","6,656","4,061"
"Fall River County, SD","10,944","10,384","7,922","6,161"
"Faulk County, SD","8,653","7,246","7,613","4,034"
"Grant County, SD","10,394","8,714","6,744","4,191"
"Gregory County, SD","8,906","7,401","6,005","5,082"
"Haakon County, SD","10,117","8,251","7,770","5,764"
"Hamlin County, SD","9,086","7,470","6,565","3,516"
"Hand County, SD","9,305","8,197","8,620","4,112"
"Hanson County, SD","9,846","6,751","5,753","3,084"
"Harding County, SD","8,555","8,600","6,958","6,443"
"Hughes County, SD","12,263","12,093","9,539","7,267"
"Hutchinson County, SD","9,514","8,032","6,518","3,492"
"Hyde County, SD","9,648","7,832","6,575","4,226"
"Jackson County, SD","6,947","7,747","6,099","5,549"
"Jerauld County, SD","9,867","8,033","5,863","3,347"
"Jones County, SD","9,592","8,665","6,905","4,599"
"Kingsbury County, SD","9,857","8,174","7,062","4,305"
"Lake County, SD","11,388","9,012","6,776","4,980"
"Lawrence County, SD","11,378","9,754","7,534","6,043"
"Lincoln County, SD","12,246","10,133","7,065","4,575"
"Lyman County, SD","9,724","7,981","8,293","4,658"
"Marshall County, SD","9,542","8,105","6,036","4,128"
"McCook County, SD","8,790","7,167","5,917","3,685"
"McPherson County, SD","8,799","8,258","6,169","4,105"
"Meade County, SD","9,725","9,323","7,745","5,894"
"Mellette County, SD","6,964","6,001","6,049","3,496"
"Miner County, SD","9,711","7,040","6,159","3,449"
"Minnehaha County, SD","13,345","12,075","8,721","6,742"
"Moody County, SD","10,169","9,206","6,146","3,944"
"Pennington County, SD","12,031","11,049","8,435","6,832"
"Perkins County, SD","10,982","9,747","7,273","5,525"
"Potter County, SD","10,177","7,975","7,840","4,838"
"Roberts County, SD","7,981","7,425","5,888","3,477"
"Sanborn County, SD","8,956","6,565","6,238","4,010"
"Shannon County, SD","3,417","4,419","4,456","2,649"
"Spink County, SD","9,674","8,615","6,738","3,865"
"Stanley County, SD","10,759","10,240","7,903","6,094"
"Sully County, SD","11,559","7,928","6,867","5,674"
"Todd County, SD","5,043","5,293","4,563","2,872"
"Tripp County, SD","10,340","8,507","8,173","5,435"
"Turner County, SD","9,355","8,978","6,722","4,065"
"Union County, SD","9,997","9,447","7,865","4,897"
"Walworth County, SD","10,518","8,998","7,314","5,812"
"Washabaugh County, SD",(NA),(NA),"4,438","4,218"
"Yankton County, SD","10,305","10,269","7,619","4,681"
"Ziebach County, SD","6,132","5,097","5,202","4,532"
,,,,
Tennessee,"$12,255.00","$10,411.00","$7,755.00","$5,172.00"
"Anderson County, TN","13,182","11,708","8,737","6,573"
"Bedford County, TN","11,311","10,595","7,563","4,987"
"Benton County, TN","10,046","9,303","7,006","4,258"
"Bledsoe County, TN","8,053","7,532","4,488","2,378"
"Blount County, TN","12,674","10,966","7,940","5,199"
"Bradley County, TN","11,768","9,984","7,601","5,141"
"Campbell County, TN","8,098","7,591","4,787","3,233"
"Cannon County, TN","9,863","8,499","5,989","3,802"
"Carroll County, TN","10,121","8,891","7,195","3,846"
"Carter County, TN","9,809","8,249","6,445","4,575"
"Cheatham County, TN","11,868","10,461","7,239","4,124"
"Chester County, TN","8,281","8,233","5,907","3,316"
"Claiborne County, TN","8,371","7,127","4,847","2,668"
"Clay County, TN","8,753","6,998","4,453","2,480"
"Cocke County, TN","8,574","7,393","5,171","3,308"
"Coffee County, TN","11,416","10,310","7,802","5,207"
"Crockett County, TN","10,636","8,343","6,169","3,261"
"Cumberland County, TN","9,782","8,340","5,504","3,073"
"Davidson County, TN","15,195","12,698","9,923","6,949"
"Decatur County, TN","9,345","8,460","6,628","3,359"
"DeKalb County, TN","9,570","9,253","6,276","3,151"
"Dickson County, TN","11,162","10,128","7,031","4,293"
"Dyer County, TN","11,270","9,310","7,021","4,297"
"Fayette County, TN","9,627","7,091","4,060","1,844"
"Fentress County, TN","6,927","5,972","3,978","2,233"
"Franklin County, TN","10,513","9,290","6,634","4,344"
"Gibson County, TN","10,277","9,129","7,154","3,991"
"Giles County, TN","10,983","9,106","6,298","3,728"
"Grainger County, TN","8,415","7,378","5,165","2,896"
"Greene County, TN","10,161","8,740","6,121","4,022"
"Grundy County, TN","7,227","7,902","4,164","2,998"
"Hamblen County, TN","11,127","9,396","7,305","5,176"
"Hamilton County, TN","13,619","11,542","8,998","6,545"
"Hancock County, TN","6,266","5,118","3,289","1,884"
"Hardeman County, TN","8,650","7,393","5,202","2,484"
"Hardin County, TN","9,654","8,383","5,948","3,410"
"Hawkins County, TN","10,358","8,692","6,046","3,575"
"Haywood County, TN","8,696","7,432","4,866","2,464"
"Henderson County, TN","9,564","8,479","5,967","3,426"
"Henry County, TN","10,423","9,431","6,811","4,579"
"Hickman County, TN","9,723","8,333","5,615","3,441"
"Houston County, TN","9,060","8,554","6,241","3,288"
"Humphreys County, TN","10,614","10,103","7,796","4,144"
"Jackson County, TN","9,159","7,862","4,541","2,453"
"Jefferson County, TN","10,562","8,449","6,276","4,081"
"Johnson County, TN","7,531","6,843","5,089","2,743"
"Knox County, TN","14,007","11,554","8,633","6,118"
"Lake County, TN","8,285","7,854","5,605","3,151"
