State and County,1989,1979,1969,1959
"Solano County, CA","14,833","12,412","9,728","7,526"
"Sonoma County, CA","17,239","13,551","9,684","7,405"
"Stanislaus County, CA","12,731","11,887","9,190","6,655"
"Sutter County, CA","12,763","11,911","9,602","7,440"
"Tehama County, CA","10,990","10,284","8,910","6,910"
"Trinity County, CA","10,781","10,548","8,982","7,895"
"Tulare County, CA","10,302","10,118","7,840","6,310"
"Tuolumne County, CA","13,224","11,302","9,558","7,770"
"Ventura County, CA","17,861","13,431","10,216","7,793"
"Yolo County, CA","13,861","12,194","9,410","7,672"
"Yuba County, CA","9,874","9,282","7,456","6,459"
,,,,
Colorado,"$14,821.00","$13,402.00","$9,775.00","$7,413.00"
"Adams County, CO","12,615","12,164","9,055","6,655"
"Alamosa County, CO","9,286","9,541","7,141","5,639"
"Arapahoe County, CO","18,777","17,090","12,003","8,739"
"Archuleta County, CO","10,913","9,300","7,349","4,489"
"Baca County, CO","9,571","9,396","8,063","5,988"
"Bent County, CO","9,170","9,737","6,710","5,443"
"Boulder County, CO","17,359","14,423","10,650","7,644"
"Chaffee County, CO","10,788","10,463","7,528","5,702"
"Cheyenne County, CO","11,382","9,489","7,254","8,080"
"Clear Creek County, CO","16,196","15,740","10,153","7,530"
"Conejos County, CO","6,664","5,505","4,148","3,477"
"Costilla County, CO","7,057","6,166","4,815","2,794"
"Crowley County, CO","6,978","7,834","6,471","4,544"
"Custer County, CO","11,309","8,933","6,965","4,403"
"Delta County, CO","9,586","9,248","6,921","4,925"
"Denver County, CO","15,590","14,332","11,122","8,915"
"Dolores County, CO","9,784","9,017","7,966","6,074"
"Douglas County, CO","21,002","17,631","10,310","5,929"
"Eagle County, CO","18,202","16,569","9,369","4,987"
"El Paso County, CO","14,566","11,629","7,342","4,905"
"Elbert County, CO","13,664","11,775","9,190","7,189"
"Fremont County, CO","9,971","9,888","7,116","5,231"
"Garfield County, CO","13,086","12,909","9,193","6,624"
"Gilpin County, CO","15,267","13,271","8,907","6,479"
"Grand County, CO","13,457","13,017","9,445","6,604"
"Gunnison County, CO","11,516","11,110","8,054","6,639"
"Hinsdale County, CO","12,978","13,080","15,446","13,895"
"Huerfano County, CO","8,212","8,645","7,176","4,418"
"Jackson County, CO","10,858","11,502","9,804","6,867"
"Jefferson County, CO","17,310","15,867","11,566","8,935"
"Kiowa County, CO","10,305","10,811","7,157","6,349"
"Kit Carson County, CO","11,385","9,970","8,472","6,318"
"LaPlata County, CO","11,269","12,958","8,214","6,483"
"Lake County, CO","12,163","11,262","7,733","6,447"
"Larimer County, CO","13,968","12,497","9,017","6,498"
"Las Animas County, CO","8,934","8,563","6,294","4,607"
"Lincoln County, CO","10,052","10,652","7,506","6,796"
"Logan County, CO","10,899","11,059","7,956","6,698"
